income,road_dist,cooking,y_am_pef,tempin,humidin,pm25in,co2in,tempdiffin,humidiffin,pm25diffin,pm10,pm25,o3,no2,co,so2,temp,windsd,humid,varp,dewpt,airp,seap,solrhr,solramnt,grdt,class
0.0,0.5,0.5,0.15087326,0.61530787,0.18481794,0.25081605,0.0,0.14291316,0.38854977,0.27315193,0.0,0.5152967,0.0,0.0,0.7513831,0.67976594,0.52086663,0.21301208,0.0,0.48814058,0.11580159,0.6264334,0.20760117,0.7589853,0.016791303,0.15713212,0.0
0.0,0.5,0.5,0.09886561,0.44210762,0.06852636,0.20362692,0.0,0.31552643,0.33995512,0.21617286,0.0757436,0.0,0.0,0.087638296,0.45574945,0.3117244,0.33230436,0.3294634,0.06328967,0.14559586,0.31569993,0.6149659,0.3866528,0.43218756,0.16138208,0.28842247,0.0
0.0,0.5,0.5,0.49252146,0.87552994,0.2554451,0.5227017,0.0,1.1315914,1.2657161,0.0,0.4800087,0.41318548,0.0,0.09434149,1.3868818,0.80932087,0.5610781,0.32315093,0.5029717,0.23085594,0.45158008,0.789353,0.4387336,0.6469446,0.9804348,0.77779114,0.0
0.0,0.5,0.5,0.10583412,0.65984774,0.39331135,0.09956871,0.18332087,0.08349515,0.18027407,0.35309848,0.019485053,0.27220094,0.0,0.0,0.4054438,0.526943,0.44083047,0.035929684,0.0,0.2591123,0.1401538,0.5481692,0.17396966,0.73978823,0.024212653,0.47433937,0.0
0.0,0.5,0.5,0.6383791,1.0423282,0.10345955,0.44610173,0.0,0.92601466,0.19078481,0.7326344,0.6893994,0.0,0.0,0.94163346,0.50977224,0.2223799,0.5419438,0.9325067,0.33777776,0.03733798,0.37915593,1.4663519,0.9825874,0.33199555,0.0,0.0,0.0
0.0,0.5,0.5,0.6794869,1.0690137,0.26908225,0.4362084,0.058362417,0.35080808,0.15190156,0.5453669,0.53218156,0.0,0.0,0.42536327,0.39590728,0.11609289,0.60113704,0.67957747,0.0,0.35387197,0.15298069,1.1015188,0.33261716,0.31998515,0.018397745,0.23411664,0.0
0.0,0.5,0.5,0.6966475,0.7282165,0.6761707,0.0,0.43465126,0.09924559,0.17109984,0.28467074,0.037458405,0.20231223,0.0,0.035289086,0.3115642,0.77171105,0.55713904,0.056163333,0.0,0.902892,0.10098219,0.8129166,0.0,0.9389197,0.0,0.3262686,0.0
0.0,0.5,0.5,0.853136,0.9146984,0.6548872,0.3723798,0.0,0.7143918,0.4030118,0.7383783,0.76424354,0.0,0.0,0.27723193,0.48582125,0.22525385,0.5673208,0.6050453,0.21668616,0.545076,0.51400566,1.3772095,0.64882773,0.82766956,0.419049,0.34704098,0.0
0.0,0.5,0.5,0.13243063,0.696713,0.64472365,0.26132044,0.0,0.2273382,0.38073087,0.37755024,0.55120367,0.0,0.047507104,0.18139869,0.4553207,0.1482212,0.45577505,0.5615604,0.28789392,0.19498576,0.40812,0.4048312,0.72887045,0.44315284,0.0,0.29795158,0.0
0.0,0.5,0.5,0.27643296,0.91864115,0.21034892,0.42119834,0.0,0.7199535,0.902669,0.037842896,0.13832611,0.41173637,0.0,0.27950352,0.9363189,0.77799183,0.62804234,0.32430923,0.27376524,0.3474858,0.31572118,0.7692098,0.44291818,0.70814794,0.40585402,0.61680204,0.0
0.0,0.5,0.5,0.6702816,0.9637835,1.078002,0.3526036,0.7807636,0.0,0.5976837,0.9248938,0.50521123,0.39162028,0.1528787,0.005285196,0.35768482,0.6248251,1.1086702,0.41906223,0.0,1.0710639,0.31371823,0.38340998,0.0,1.0637178,0.0,0.45570597,0.0
0.0,0.5,0.5,0.29377034,0.7163742,0.42947343,0.0,0.3813352,0.21272421,0.03546321,0.21144171,0.0,0.0,0.0,0.18766576,0.10864692,0.47838193,0.45072642,0.063431025,0.0,0.5475611,0.09232293,0.5236858,0.10713529,0.5914777,0.0,0.44979322,0.0
0.0,0.5,0.5,0.21158037,0.85191983,0.0,0.5798022,0.0,0.818282,0.59655386,0.0,0.16265316,0.099102825,0.0,0.33198518,1.0662087,0.4927858,0.39913836,0.6420634,0.22085929,0.0,0.2291492,0.92990875,0.62974024,0.2553458,0.26475787,0.19776426,0.0
0.0,0.5,0.5,0.98546076,1.0109758,0.5911002,0.20726766,0.67726654,0.0,0.15189385,0.33971047,0.032761972,0.0,0.0,0.6834447,0.0,0.28983814,0.6952659,0.69660044,0.0,1.0785325,0.14702098,0.98077816,0.0,0.45065904,0.0,0.0,0.0
0.0,0.5,0.5,0.59277815,1.0059688,0.6183232,0.46125507,0.0,0.5000447,0.7792059,0.28129554,0.71924645,0.0,0.11620838,0.44666302,0.5660766,0.40103483,0.7807492,0.51600397,0.36716998,0.45454964,0.30855465,0.44570762,0.3705948,0.4416648,0.37776297,0.61903226,0.0
0.0,0.5,0.5,0.038781606,0.10553563,0.077479824,0.0,0.0,0.10516471,0.098496355,0.0,0.17764118,0.0,0.0,0.043470614,0.1547141,0.21877933,0.19196069,0.06659954,0.0,0.041596852,0.13422117,0.24745083,0.11194222,0.22714292,0.20218311,0.1297715,0.0
0.0,0.5,0.5,0.45562905,0.5493344,0.3911096,0.34514046,0.2865346,0.10655841,0.19188046,0.3523667,0.5791877,0.0,0.055575684,0.14804813,0.11942386,0.056301013,0.55027163,0.44067395,0.22770822,0.31412187,0.0693395,0.22654471,0.16278937,0.19103017,0.060241234,0.17070678,0.0
0.0,0.5,0.5,0.16413914,0.19218005,0.1789945,0.0713025,0.025207467,0.045990538,0.22174193,0.0,0.17619772,0.19760944,0.21516292,0.026759502,0.21743056,0.2778718,0.2465276,0.06548324,0.054195423,0.11774928,0.06788174,0.112948,0.0,0.22042377,0.1106883,0.08735109,0.0
0.0,0.5,0.5,0.15795042,0.35501042,0.20383377,0.080542594,0.08009937,0.036613952,0.06230413,0.26637566,0.0,0.30894458,0.0,0.0,0.23567705,0.45070672,0.36629587,0.0643219,0.0,0.3082644,0.019621413,0.34277806,0.07024098,0.53351873,0.0,0.10547903,0.0
0.0,0.5,0.5,0.0,1.3976338,0.0,0.68267256,0.0,0.33762866,0.5347902,0.22540276,0.0,0.59602416,0.0,0.11717793,1.1907713,0.93705994,0.8723887,0.47882593,0.0,0.60763866,0.1606389,1.0720286,0.7938491,0.98904204,0.0,0.46467164,0.0
0.0,0.5,0.5,0.54094476,0.9142542,0.6065677,0.08826943,0.7152719,0.039988298,0.108518034,0.567655,0.17865907,0.0,0.0,0.7232066,0.0,0.06405581,0.8032242,0.46155533,0.0,1.0359875,0.32967436,0.400327,0.23526193,0.26380026,0.0,0.35884324,0.0
0.0,0.5,0.5,0.27248734,0.58312255,0.5102998,0.31433505,0.47774315,0.0,0.18644817,0.5790929,0.27045947,0.28304052,0.0,0.0,0.09296347,0.41131788,0.75560045,0.2677776,0.04408815,0.49640024,0.03527594,0.18255924,0.03194818,0.66029066,0.0,0.26584098,0.0
0.0,0.5,0.5,0.17221878,0.47652215,0.74646705,0.0,0.33892524,0.0,0.0,0.31661248,0.34453604,0.0,0.19082864,0.063225955,0.0,0.30134267,0.4689366,0.08816466,0.0,0.54646045,0.0,0.15791672,0.26234272,0.6082978,0.0,0.00728132,0.0
